stt,GSA1,GSA2,GSA3,GSA4,CE1,CE2,CE3,CE4,CE5,CE6,CE7,CE8,MA1,MA2,MA3,MA4,MA5,VA1,VA2,VA3,VA4,FE1,FE2,FE3,PE1,PE2,PE3
95,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
96,3,5,3,5,4,4,4,4,3,4,4,2,5,3,4,4,5,3,5,3,4,5,3,5,5,4,3
97,4,5,5,4,3,4,5,5,5,5,5,5,5,4,3,3,4,4,4,3,5,4,4,4,4,3,3
98,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
99,3,4,5,3,1,1,2,1,3,3,4,2,4,4,4,4,3,5,4,4,5,2,1,1,1,1,2
100,4,4,5,4,4,4,4,5,4,5,4,4,5,5,4,4,5,3,4,4,4,4,3,5,4,4,3
101,4,5,4,5,4,4,5,4,4,5,4,5,4,5,4,5,4,4,4,5,4,4,5,4,5,4,5
102,4,4,4,5,4,5,4,4,3,3,5,4,4,5,5,5,4,5,4,5,5,4,5,5,5,3,5
103,3,3,2,3,4,3,3,2,2,2,3,3,3,3,4,3,4,3,3,3,3,3,2,4,3,3,3
104,4,3,4,3,4,3,3,4,3,4,3,4,4,5,4,5,4,4,3,4,3,4,3,4,3,4,3
105,3,4,3,3,4,4,4,2,3,3,2,3,5,5,3,3,5,5,3,4,3,5,5,4,5,5,2
106,5,3,4,4,5,4,5,5,5,5,4,4,4,4,5,5,5,4,4,4,4,4,4,2,3,4,5
107,4,5,3,3,2,2,2,2,2,2,2,2,5,5,3,3,3,5,5,4,4,3,3,4,3,2,3
108,4,3,5,5,4,4,4,5,4,3,3,4,4,5,4,5,5,5,4,4,5,4,5,4,4,4,4
109,4,3,4,3,3,2,3,3,3,2,3,4,3,4,3,3,4,3,4,3,4,3,4,3,4,3,4
110,5,5,5,5,3,5,4,4,5,3,3,5,3,3,4,5,3,3,5,5,5,3,4,3,2,3,4
111,3,4,3,3,3,3,2,4,3,3,3,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,4
112,5,4,5,3,5,4,4,3,4,5,4,5,4,5,4,5,3,5,4,3,4,5,4,4,5,4,4
113,4,5,4,5,4,3,4,5,4,4,4,5,4,4,3,5,4,4,3,4,4,4,3,4,4,3,4
114,5,5,5,4,4,2,1,1,1,3,4,4,3,2,2,1,2,2,4,3,4,4,2,4,5,5,4
115,4,4,4,4,5,4,4,5,4,4,4,5,3,5,4,4,4,4,3,5,3,4,3,5,5,5,3
116,5,5,5,5,4,4,5,5,3,3,4,5,5,4,5,5,5,5,3,4,4,5,5,4,4,4,4
117,3,4,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,3,3,5,5,5,4,4,5,4,3
118,3,5,4,5,5,3,4,3,5,4,5,3,5,3,5,5,3,4,5,4,3,4,4,4,5,5,5
119,3,5,4,4,4,5,3,3,3,4,5,3,5,4,4,3,5,4,5,4,3,4,4,5,5,5,5
120,5,4,4,5,4,5,5,4,5,5,4,4,5,3,4,4,5,5,5,4,4,4,5,5,4,5,5
121,5,4,5,5,3,4,4,5,5,4,4,5,5,4,4,4,5,5,4,5,5,5,4,5,5,4,5
122,5,4,3,4,3,4,4,5,4,4,5,4,4,5,4,4,5,5,4,5,4,5,4,5,5,5,4
123,4,5,4,5,5,3,4,4,5,4,3,4,4,5,4,4,5,5,4,4,5,5,4,4,4,5,4
